Model,Transcript_nr,Timeframe_LP,Timeframe_EVAL,Split,Amount,Metric,Value,POS,Matchtype
Lexical profile,1016,10,70 - 100,30,0,Coverage,0.23529411764705882,PRON,Exact
Lexical profile,1016,10,70 - 100,30,0,Cosine,0.7612308535551809,PRON,Exact
Lexical profile,1016,10,70 - 100,30,0,Recall,1.0,PRON,Lemma
Lexical profile,1016,10,70 - 100,30,0,Coverage,0.24242424242424243,PRON,Lemma
Lexical profile,1016,10,70 - 100,30,0,Cosine,0.7612206345254449,PRON,Lemma
Lexical profile,1016,10,70 - 100,30,0,Recall,1.0,ADJ,Exact
Lexical profile,1016,10,70 - 100,30,0,Coverage,0.07228915662650602,ADJ,Exact
Lexical profile,1016,10,70 - 100,30,0,Cosine,0.672169452163447,ADJ,Exact
Lexical profile,1016,10,70 - 100,30,0,Recall,1.0,ADJ,Lemma
Lexical profile,1016,10,70 - 100,30,0,Coverage,0.08450704225352113,ADJ,Lemma
Lexical profile,1016,10,70 - 100,30,0,Cosine,0.6811781395691721,ADJ,Lemma
Lexical profile,1016,10,70 - 100,30,0,Recall,1.0,CONJ,Exact
Lexical profile,1016,10,70 - 100,30,0,Coverage,0.25,CONJ,Exact
Lexical profile,1016,10,70 - 100,30,0,Cosine,0.69202623113936,CONJ,Exact
Lexical profile,1016,10,70 - 100,30,0,Recall,1.0,CONJ,Lemma
Lexical profile,1016,10,70 - 100,30,0,Coverage,0.25,CONJ,Lemma
Lexical profile,1016,10,70 - 100,30,0,Cosine,0.69202623113936,CONJ,Lemma
Lexical profile,1016,10,70 - 100,30,0,Recall,1.0,VERB,Exact
Lexical profile,1016,10,70 - 100,30,0,Coverage,0.04790419161676647,VERB,Exact
Lexical profile,1016,10,70 - 100,30,0,Cosine,0.6881810615177769,VERB,Exact
Lexical profile,1016,10,70 - 100,30,0,Recall,1.0,VERB,Lemma
Lexical profile,1016,10,70 - 100,30,0,Coverage,0.05434782608695652,VERB,Lemma
Lexical profile,1016,10,70 - 100,30,0,Cosine,0.9286143127795282,VERB,Lemma
Lexical profile,1016,10,70 - 100,30,0,Recall,1.0,ADV,Exact
Lexical profile,1016,10,70 - 100,30,0,Coverage,0.19148936170212766,ADV,Exact
Lexical profile,1016,10,70 - 100,30,0,Cosine,0.7767669460474096,ADV,Exact
Lexical profile,1016,10,70 - 100,30,0,Recall,1.0,ADV,Lemma
